,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,130.0498046875,130.0499,1,3984.895751953125,0.73000000,i_ion,"[""['E3']""]"
1,173.0920867919922,173.0921,1,350703.78125,0.08000000,i_ion,"[""['J4']""]"
2,262.139892578125,262.1397,1,276544.6875,-0.7000000,y_ion,"[""['A5', 'J4']""]"
3,278.1226806640625,278.1234,1,34459.90234375,2.5900000,i_ion,"[""['M1']""]"
4,302.1346740722656,302.1347,1,261015.625,0.09000000,i_ion,"[""['E3', 'J4']""]"
5,349.1599426269531,349.1605,1,79186.5625,1.6000000,i_ion,"[""['M1', 'A2']""]"
6,373.1716003417969,373.1718,1,67165.0546875,0.54000000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,391.18218994140625,391.1823,1,150532.109375,0.28000000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,462.2171936035156,462.2194,1,31466.662109375,4.7700000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
9,478.2052001953125,478.2031,1,11563.6533203125,-4.4000000,i_ion,"[""['M1', 'A2', 'E3']""]"
10,650.2911376953125,650.2879,1,4463.51318359375,-5.0000000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
11,739.3355102539062,739.3355,1,26119.80859375,0E-7,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
