,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05538177490234,90.0549,1,132727.328125,-5.3000000,y_ion,"[""['A5']""]"
1,173.0922393798828,173.0921,1,2123253.0,-0.8000000,i_ion,"[""['J4']""]"
2,204.0867156982422,204.0867,1,3900288.25,-0.1000000,b_ion,"[""['G0']""]"
3,262.139404296875,262.1397,1,1688500.25,1.1300000,y_ion,"[""['J4', 'A5']""]"
4,278.1228332519531,278.1234,1,305029.375,2.0400000,i_ion,"[""['M1']""]"
5,302.1347961425781,302.1347,1,1406496.875,-0.3000000,i_ion,"[""['E3', 'J4']""]"
6,349.1595153808594,349.1605,1,467564.15625,2.8200000,i_ion,"[""['M1', 'A2']""]"
7,373.1712951660156,373.1718,1,400198.09375,1.3500000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,391.1821594238281,391.1823,1,498994.6875,0.36000000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,739.3418579101562,739.3355,1,127621.484375,-8.6000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
