,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05559539794922,90.0549,1,229987.46875,-7.7000000,y_ion,"[""['A5']""]"
1,204.08676147460938,204.0867,1,6493436.0,-0.3000000,b_ion,"[""['G0']""]"
2,232.118408203125,232.11725,2,322648.84375,-5.0000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
3,263.14251708984375,263.1475,1,342734.53125,18.940000,y_ion,"[""['A5', 'J4']""]"
4,278.1235046386719,278.1234,1,608443.6875,-0.4000000,i_ion,"[""['M1']""]"
5,349.159423828125,349.1605,1,873557.625,3.0800000,i_ion,"[""['M1', 'A2']""]"
6,374.1788635253906,374.1796,1,84167.2890625,1.9700000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,392.1851806640625,392.1901,1,247710.46875,12.540000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,478.2016296386719,478.2031,1,80515.375,3.0700000,i_ion,"[""['M1', 'A2', 'E3']""]"
9,740.3322143554688,740.3433,1,239513.546875,14.970000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
