,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09219360351562,173.0921,1,771676.9375,-0.5000000,i_ion,"[""['J4']""]"
1,204.08682250976562,204.0867,1,1378250.125,-0.6000000,b_ion,"[""['G0']""]"
2,232.11825561523438,232.1173,2,114307.6953125,-4.1000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
3,263.14349365234375,263.1476,1,186475.578125,15.600000,y_ion,"[""['A5', 'J4']""]"
4,278.1239929199219,278.1234,1,82705.515625,-2.1000000,i_ion,"[""['M1']""]"
5,302.1347961425781,302.1347,1,419427.65625,-0.3000000,i_ion,"[""['E3', 'J4']""]"
6,349.15911865234375,349.1605,1,161226.0,3.9600000,i_ion,"[""['M1', 'A2']""]"
7,373.17291259765625,373.1718,1,117550.453125,-3.0000000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,392.1854248046875,392.1902,1,125762.2109375,12.180000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,463.22235107421875,463.2273,1,32609.375,10.680000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,740.3359375,740.3434,1,94452.34375,10.080000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
