,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.0923614501953,173.0921,2,1389903.5,-1.5000000,i_ion,"[""['J32', 'J38']""]"
1,204.08680725097656,204.0867,1,11693604.0,-0.5000000,b_ion,"[""['G34']""]"
2,204.08680725097656,204.0867,1,11693604.0,-0.5000000,b_ion,"[""['G28']""]"
3,278.12298583984375,278.1234,1,861797.75,1.4900000,i_ion,"[""['M35']""]"
4,278.12298583984375,278.1234,1,861797.75,1.4900000,i_ion,"[""['M29']""]"
5,302.13458251953125,302.1347,2,1932104.75,0.39000000,i_ion,"[""['E31', 'J32', 'E37', 'J38']""]"
6,349.1610107421875,349.1605,1,1668215.5,-1.5000000,i_ion,"[""['A36', 'M35']""]"
7,349.1610107421875,349.1605,1,1668215.5,-1.5000000,i_ion,"[""['M29', 'A30']""]"
8,373.17315673828125,373.1718,2,443513.90625,-3.6000000,i_ion,"[""['A30', 'E31', 'J32', 'A36', 'E37', 'J38']""]"
9,374.17681884765625,374.1796,1,84896.546875,7.4300000,i_ion,"[""['A36', 'E37', 'J38']""]"
10,434.22515869140625,434.2246,1,557402.625,-1.3000000,i_ion,"[""['J32', 'A33', 'J38']""]"
11,474.2202453613281,474.2195,1,152857.21875,-1.6000000,i_ion,"[""['E31', 'J32', 'J38']""]"
12,474.2202453613281,474.2195,1,152857.21875,-1.6000000,i_ion,"[""['J32', 'E37', 'J38']""]"
13,478.20526123046875,478.2031,1,162129.890625,-4.5000000,i_ion,"[""['A36', 'M35', 'E37']""]"
14,478.20526123046875,478.2031,1,162129.890625,-4.5000000,i_ion,"[""['M29', 'E31', 'A30']""]"
15,545.260009765625,545.2566,1,177970.796875,-6.3000000,i_ion,"[""['A30', 'E31', 'J32', 'J38']""]"
16,545.260009765625,545.2566,1,177970.796875,-6.3000000,i_ion,"[""['J32', 'A36', 'E37', 'J38']""]"
17,563.2694091796875,563.2672,1,662402.3125,-3.9000000,i_ion,"[""['E31', 'J32', 'A33', 'J38']""]"
18,563.2694091796875,563.2672,1,662402.3125,-3.9000000,i_ion,"[""['J32', 'A33', 'E37', 'J38']""]"
19,603.2660522460938,603.2621,1,159880.4375,-6.6000000,i_ion,"[""['E31', 'J32', 'E37', 'J38']""]"
20,634.3033447265625,634.3043,1,324031.3125,1.5100000,i_ion,"[""['A30', 'E31', 'J32', 'A33', 'J38']""]"
21,634.3033447265625,634.3043,1,324031.3125,1.5100000,i_ion,"[""['J32', 'A33', 'A36', 'E37', 'J38']""]"
22,650.2904663085938,650.2879,2,504583.90625,-3.9000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
23,674.3057250976562,674.2992,1,170207.078125,-9.7000000,i_ion,"[""['A30', 'E31', 'J32', 'E37', 'J38']""]"
24,674.3057250976562,674.2992,1,170207.078125,-9.7000000,i_ion,"[""['E31', 'J32', 'A36', 'E37', 'J38']""]"
25,692.30859375,692.3098,1,444418.0,1.7400000,i_ion,"[""['E31', 'J32', 'A33', 'E37', 'J38']""]"
26,763.3516235351562,763.3469,1,175821.984375,-6.2000000,i_ion,"[""['A30', 'E31', 'J32', 'A33', 'E37', 'J38']""]"
27,763.3516235351562,763.3469,1,175821.984375,-6.2000000,i_ion,"[""['E31', 'J32', 'A33', 'A36', 'E37', 'J38']""]"
28,911.42431640625,911.4204,1,1189388.25,-4.3000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'J38']""]"
29,911.42431640625,911.4204,1,1189388.25,-4.3000000,i_ion,"[""['J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
30,951.418701171875,951.4153,1,954557.0,-3.6000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'E37', 'J38']""]"
31,951.418701171875,951.4153,1,954557.0,-3.6000000,i_ion,"[""['E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
32,1022.459228515625,1022.4524,1,892300.5,-6.7000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A36', 'E37', 'J38']""]"
33,1022.459228515625,1022.4524,1,892300.5,-6.7000000,i_ion,"[""['A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
34,1040.4669189453125,1040.4630,1,1569772.625,-3.8000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'E37', 'J38']""]"
35,1040.4669189453125,1040.4630,1,1569772.625,-3.8000000,i_ion,"[""['E31', 'J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
36,1111.5052490234375,1111.5001,1,191105.3125,-4.6000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'A36', 'E37', 'J38']""]"
37,1111.5052490234375,1111.5001,1,191105.3125,-4.6000000,i_ion,"[""['A30', 'E31', 'J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
38,1299.5675048828125,1299.5685,1,269337.53125,0.77000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
39,1388.620361328125,1388.6162,1,765824.4375,-3.0000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
